xdatetime_srv,xdatetime_loc,xouttemp,xwinddirec,xwindsp,xsunvol,xsunadd,xinsunvol,xinsunadd,xgndtemp,xgndhum,xwatertemp2,xrain,xhumlack,xsthum,xabhum,xdhum,Xsupplytemp1,Xreturntemp1,xintemp1,xinhum1,xco2,xco2set,xwinvol1_1,xcurivol,x3way1vol,xwinlauto,xcurlauto,x3waylauto,xco2auto,xlightauto,xhunauto,xboauto,xpumpauto,xco2run,xlightrun,xhunrun,xborun,xjuya,xventtemp1,xheattemp1,xasslauto,xass1run,XheatandCool1Auto,XheatandCool1Run,xpumprun1,set_val1,re_val1,ac_val1,set_ec,now_ec,set_ph,now_ph,sunrise,sunset,sunvol,sunadd,water_con,medium_ec,medium_temp,in_temp,in_hum,pi_ec,g1,j30m,jday
2026-03-17 00:00:00,2026-03-17 00:00:00,10.2,186,2.2,0.0,0.0,0.0,0.0,8.2,78.2,45.0,0,7.6,29.04,21.44,12.8,60.0,40.0,18.1,73.8,428,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.51,5.8,5.82,06:30,18:30,0.0,0.0,64.9,3.01,16.1,18.1,73.8,2.41,0.0,0.0,1850.5
2026-03-17 00:01:00,2026-03-17 00:01:00,10.4,37,2.8,0.0,0.0,0.0,0.0,8.5,76.9,45.0,0,7.68,29.01,21.33,12.7,60.0,40.0,18.0,73.5,449,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.47,5.8,5.68,06:30,18:30,0.0,0.0,64.9,2.97,16.0,18.0,73.5,2.37,0.0,0.0,1850.5
2026-03-17 00:02:00,2026-03-17 00:02:00,9.9,330,2.2,0.0,0.0,0.0,0.0,7.9,77.7,45.0,0,8.25,29.07,20.82,12.5,60.0,40.0,18.1,71.6,441,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.51,5.8,5.74,06:30,18:30,0.0,0.0,64.8,3.01,16.1,18.1,71.6,2.41,0.0,0.0,1850.5
2026-03-17 00:03:00,2026-03-17 00:03:00,10.3,321,2.7,0.0,0.0,0.0,0.0,8.3,76.4,45.0,0,7.82,29.12,21.3,12.9,60.0,40.0,18.2,73.1,460,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.51,5.8,5.69,06:30,18:30,0.0,0.0,64.8,3.01,16.2,18.2,73.1,2.41,0.0,0.0,1850.5
2026-03-17 00:04:00,2026-03-17 00:04:00,10.5,55,2.6,0.0,0.0,0.0,0.0,8.5,78.0,45.0,0,8.33,29.05,20.72,12.4,60.0,40.0,18.1,71.3,441,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.46,5.8,5.68,06:30,18:30,0.0,0.0,64.7,2.96,16.1,18.1,71.3,2.36,0.0,0.0,1850.5
2026-03-17 00:05:00,2026-03-17 00:05:00,10.2,196,3.6,0.0,0.0,0.0,0.0,8.2,77.6,45.0,0,7.88,29.0,21.12,12.6,60.0,40.0,18.0,72.8,420,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.46,5.8,5.74,06:30,18:30,0.0,0.0,64.7,2.96,16.0,18.0,72.8,2.36,0.0,0.0,1850.5
2026-03-17 00:06:00,2026-03-17 00:06:00,10.7,199,3.6,0.0,0.0,0.0,0.0,8.7,76.6,45.0,0,8.08,28.92,20.84,12.2,60.0,40.0,17.8,72.1,441,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.46,5.8,5.85,06:30,18:30,0.0,0.0,64.6,2.96,15.8,17.8,72.1,2.36,0.0,0.0,1850.5
2026-03-17 00:07:00,2026-03-17 00:07:00,10.2,103,1.9,0.0,0.0,0.0,0.0,8.1,77.7,25.0,0,8.04,29.27,21.23,13.0,25.0,22.0,18.5,72.5,452,450,0.0,100,0,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,0,0,26.0,18.0,자동,0,자동,0,0,150.0,1000.0,0.0,2.5,2.46,5.8,5.83,06:30,18:30,0.0,0.0,64.6,2.96,16.5,18.5,72.5,2.36,0.0,0.0,1850.5
2026-03-17 00:08:00,2026-03-17 00:08:00,10.6,339,1.2,0.0,0.0,0.0,0.0,8.7,76.4,45.0,0,7.65,28.9,21.25,12.5,60.0,40.0,17.8,73.5,453,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.62,5.8,5.83,06:30,18:30,0.0,0.0,64.5,3.12,15.8,17.8,73.5,2.52,0.0,0.0,1850.5
2026-03-17 00:09:00,2026-03-17 00:09:00,10.6,222,2.5,0.0,0.0,0.0,0.0,8.5,77.3,45.0,0,7.72,28.99,21.27,12.7,60.0,40.0,18.0,73.4,425,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.46,5.8,5.9,06:30,18:30,0.0,0.0,64.5,2.96,16.0,18.0,73.4,2.36,0.0,0.0,1850.5
